,Group.1,Group.2,Group.3,x
1,1,1990,DANT,4.0
2,2,1990,DANT,6.0
3,3,1990,DANT,7.3
4,4,1990,DANT,8.2
5,5,1990,DANT,17.4
6,6,1990,DANT,18.1
7,7,1990,DANT,17.0
8,8,1990,DANT,21.0
9,9,1990,DANT,15.1
10,10,1990,DANT,13.8
11,11,1990,DANT,9.0
12,12,1990,DANT,4.2
13,1,1991,DANT,-0.3
14,2,1991,DANT,3.9
15,3,1991,DANT,8.7
16,4,1991,DANT,12.6
17,5,1991,DANT,11.3
18,6,1991,DANT,13.8
19,7,1991,DANT,20.1
20,8,1991,DANT,20.9
21,9,1991,DANT,17.3
22,10,1991,DANT,13.7
23,11,1991,DANT,5.0
24,12,1991,DANT,3.9
25,1,1992,DANT,1.8
26,2,1992,DANT,3.9
27,3,1992,DANT,6.7
28,4,1992,DANT,10.0
29,5,1992,DANT,15.8
30,6,1992,DANT,18.9
31,7,1992,DANT,19.3
32,8,1992,DANT,18.65
33,9,1992,DANT,15.4
34,10,1992,DANT,12.2
35,11,1992,DANT,8.2
36,12,1992,DANT,5.3
37,1,1993,DANT,6.2
38,2,1993,DANT,4.8
39,3,1993,DANT,4.3
40,4,1993,DANT,9.0
41,5,1993,DANT,15.450000000000001
42,6,1993,DANT,16.5
43,7,1993,DANT,17.55
44,8,1993,DANT,17.35
45,9,1993,DANT,13.95
46,10,1993,DANT,12.9
47,11,1993,DANT,5.4
48,12,1993,DANT,5.1
49,1,1994,DANT,5.5
50,3,1994,DANT,6.6
51,4,1994,DANT,9.4
52,5,1994,DANT,13.95
53,6,1994,DANT,15.85
54,7,1994,DANT,21.1
55,8,1994,DANT,21.05
56,9,1994,DANT,14.5
57,10,1994,DANT,9.0
58,11,1994,DANT,9.3
59,12,1994,DANT,7.0
60,1,1995,DANT,4.1
61,2,1995,DANT,6.0
62,3,1995,DANT,5.2
63,4,1995,DANT,9.3
64,5,1995,DANT,11.5
65,6,1995,DANT,13.8
66,7,1995,DANT,22.5
67,8,1995,DANT,19.9
68,9,1995,DANT,15.3
69,10,1995,DANT,15.0
70,11,1995,DANT,9.2
71,12,1995,DANT,-0.2
72,1,1996,DANT,0.5
73,2,1996,DANT,NaN
74,3,1996,DANT,1.3
75,4,1996,DANT,6.3
76,5,1996,DANT,11.333333333333334
77,6,1996,DANT,16.9
78,7,1996,DANT,17.299999999999997
79,8,1996,DANT,18.5
80,9,1996,DANT,14.45
81,10,1996,DANT,11.8
82,11,1996,DANT,5.4
83,12,1996,DANT,4.3
84,1,1997,DANT,0.7
85,2,1997,DANT,3.9
86,3,1997,DANT,7.2
87,4,1997,DANT,8.8
88,5,1997,DANT,12.7
89,6,1997,DANT,17.6
90,7,1997,DANT,20.75
91,8,1997,DANT,23.1
92,9,1997,DANT,15.85
93,10,1997,DANT,14.7
94,11,1997,DANT,7.3
95,12,1997,DANT,4.6
96,1,1998,DANT,4.7
97,2,1998,DANT,2.4
98,3,1998,DANT,6.35
99,4,1998,DANT,9.850000000000001
100,5,1998,DANT,13.65
101,6,1998,DANT,16.7
102,7,1998,DANT,15.850000000000001
103,8,1998,DANT,18.3
104,9,1998,DANT,15.200000000000001
105,10,1998,DANT,9.75
106,11,1998,DANT,7.1
107,12,1998,DANT,2.1
108,1,1999,DANT,3.6
109,2,1999,DANT,3.1
110,3,1999,DANT,6.9
111,4,1999,DANT,10.600000000000001
112,5,1999,DANT,14.8
113,6,1999,DANT,16.0
114,7,1999,DANT,20.35
115,8,1999,DANT,19.65
116,9,1999,DANT,18.05
117,10,1999,DANT,11.015
118,11,1999,DANT,6.27
119,12,1999,DANT,4.56
120,1,2000,DANT,4.12
121,2,2000,DANT,4.85
122,3,2000,DANT,6.736666666666666
123,4,2000,DANT,10.379999999999999
124,5,2000,DANT,14.174999999999999
125,6,2000,DANT,15.515
126,7,2000,DANT,16.560000000000002
127,8,2000,DANT,19.560000000000002
128,9,2000,DANT,15.765
129,10,2000,DANT,12.875
130,11,2000,DANT,6.75
131,12,2000,DANT,3.09
132,1,2001,DANT,0.32
133,2,2001,DANT,4.92
134,3,2001,DANT,3.09
135,4,2001,DANT,7.77
136,5,2001,DANT,14.026666666666667
137,6,2001,DANT,17.46
138,7,2001,DANT,19.505
139,8,2001,DANT,20.244999999999997
140,9,2001,DANT,13.75
141,10,2001,DANT,13.415
142,11,2001,DANT,8.29
143,12,2001,DANT,5.36
144,1,2002,DANT,1.79
145,2,2002,DANT,7.31
146,3,2002,DANT,7.275
147,4,2002,DANT,10.42
148,5,2002,DANT,13.184999999999999
149,6,2002,DANT,18.225
150,7,2002,DANT,19.763333333333332
151,8,2002,DANT,21.565
152,9,2002,DANT,18.97
153,10,2002,DANT,10.536666666666667
154,11,2002,DANT,8.59
155,12,2002,DANT,0.52
156,1,2003,DANT,1.22
