,Group.1,Group.2,Group.3,x
219,4,1992,DREI,30.66
220,5,1992,DREI,30.07
221,6,1992,DREI,29.88
222,7,1992,DREI,30.509999999999998
223,8,1992,DREI,30.61
224,10,1992,DREI,30.69
225,11,1992,DREI,30.05
226,12,1992,DREI,29.405
227,1,1993,DREI,29.63
228,2,1993,DREI,29.54
229,3,1993,DREI,30.07
230,4,1993,DREI,30.5
231,5,1993,DREI,30.81
232,6,1993,DREI,30.89
233,7,1993,DREI,31.25
234,8,1993,DREI,30.84
235,9,1993,DREI,31.18
236,10,1993,DREI,30.17
237,11,1993,DREI,30.04
238,12,1993,DREI,29.72
239,1,1994,DREI,28.25
240,2,1994,DREI,28.23
241,3,1994,DREI,28.744999999999997
242,4,1994,DREI,28.395000000000003
243,5,1994,DREI,28.72
244,6,1994,DREI,28.715
245,7,1994,DREI,29.335
246,8,1994,DREI,29.87
247,9,1994,DREI,30.0
248,10,1994,DREI,29.16
249,11,1994,DREI,28.65
250,12,1994,DREI,28.56
251,1,1995,DREI,27.725
252,2,1995,DREI,27.14
253,3,1995,DREI,27.195
254,4,1995,DREI,27.104999999999997
255,5,1995,DREI,27.39
256,6,1995,DREI,27.43
257,7,1995,DREI,27.57
258,8,1995,DREI,28.123333333333335
259,9,1995,DREI,28.21
260,10,1995,DREI,27.88
261,11,1995,DREI,28.15
262,12,1995,DREI,28.58
263,1,1996,DREI,29.42
264,2,1996,DREI,29.805
265,3,1996,DREI,30.915
266,4,1996,DREI,31.89
267,5,1996,DREI,31.72
268,6,1996,DREI,30.630000000000003
269,7,1996,DREI,31.015
270,8,1996,DREI,31.310000000000002
271,9,1996,DREI,31.43
272,10,1996,DREI,31.33
273,11,1996,DREI,30.96
274,12,1996,DREI,29.98
275,1,1997,DREI,NaN
276,2,1997,DREI,30.6
277,3,1997,DREI,29.99
278,4,1997,DREI,30.585
279,5,1997,DREI,30.5
280,6,1997,DREI,30.6
281,7,1997,DREI,30.375
282,8,1997,DREI,30.71
283,9,1997,DREI,30.905
284,10,1997,DREI,30.79
285,11,1997,DREI,30.97
286,12,1997,DREI,30.67
287,1,1998,DREI,30.18
288,2,1998,DREI,30.305
289,3,1998,DREI,29.645000000000003
290,4,1998,DREI,29.64
291,5,1998,DREI,29.630000000000003
292,6,1998,DREI,29.533333333333335
293,7,1998,DREI,29.6
294,8,1998,DREI,29.913333333333334
295,9,1998,DREI,28.21
296,10,1998,DREI,28.62
297,11,1998,DREI,27.11
298,12,1998,DREI,27.35
299,1,1999,DREI,27.35
300,2,1999,DREI,27.34
301,3,1999,DREI,26.990000000000002
302,4,1999,DREI,27.494999999999997
303,5,1999,DREI,28.91
304,6,1999,DREI,29.39
305,7,1999,DREI,29.945
306,8,1999,DREI,30.403333333333332
307,9,1999,DREI,30.805
308,10,1999,DREI,30.58
309,11,1999,DREI,30.19
310,12,1999,DREI,29.06
311,1,2000,DREI,28.44
312,2,2000,DREI,28.19
313,3,2000,DREI,27.205
314,4,2000,DREI,27.435000000000002
315,5,2000,DREI,27.99
316,6,2000,DREI,28.715
317,7,2000,DREI,29.15
318,8,2000,DREI,29.23
319,9,2000,DREI,29.990000000000002
320,10,2000,DREI,30.06
321,11,2000,DREI,29.29
322,12,2000,DREI,29.63
323,1,2001,DREI,29.43
324,2,2001,DREI,29.48
325,3,2001,DREI,28.61
326,4,2001,DREI,29.009999999999998
327,5,2001,DREI,27.80666666666667
328,6,2001,DREI,28.725
329,7,2001,DREI,30.035
330,8,2001,DREI,30.655
331,9,2001,DREI,29.950000000000003
332,10,2001,DREI,29.67
333,11,2001,DREI,29.42
334,12,2001,DREI,28.6
335,1,2002,DREI,28.71
336,2,2002,DREI,27.94
337,3,2002,DREI,27.7
338,4,2002,DREI,28.425
339,5,2002,DREI,28.96666666666667
340,6,2002,DREI,29.604999999999997
341,7,2002,DREI,30.21
342,8,2002,DREI,30.259999999999998
343,9,2002,DREI,30.7
344,10,2002,DREI,30.854999999999997
345,11,2002,DREI,29.92
346,12,2002,DREI,29.87
347,1,2003,DREI,29.03
348,2,2003,DREI,29.19
349,3,2003,DREI,29.436666666666667
350,4,2003,DREI,30.025
351,5,2003,DREI,29.775
352,6,2003,DREI,29.845
353,7,2003,DREI,30.61
354,8,2003,DREI,32.019999999999996
355,9,2003,DREI,32.47
356,10,2003,DREI,32.48
357,11,2003,DREI,NaN
358,12,2003,DREI,31.85
359,1,2004,DREI,30.51
360,2,2004,DREI,31.27
361,3,2004,DREI,30.24
362,4,2004,DREI,30.32
363,5,2004,DREI,30.405
364,6,2004,DREI,30.38
365,7,2004,DREI,31.095
366,8,2004,DREI,30.79
367,9,2004,DREI,31.086666666666666
368,10,2004,DREI,31.27
369,11,2004,DREI,31.43
370,12,2004,DREI,30.57
371,1,2005,DREI,30.34
372,2,2005,DREI,31.13
373,3,2005,DREI,28.810000000000002
374,4,2005,DREI,30.14
375,5,2005,DREI,29.145
376,6,2005,DREI,29.745
377,7,2005,DREI,30.064999999999998
378,8,2005,DREI,29.79
379,9,2005,DREI,30.884999999999998
380,10,2005,DREI,30.79
381,11,2005,DREI,30.59
382,12,2005,DREI,30.58
383,1,1990,G6,30.7
384,2,1990,G6,NaN
385,3,1990,G6,32.41
386,4,1990,G6,30.55
387,5,1990,G6,31.91
388,6,1990,G6,NaN
389,7,1990,G6,29.52
390,8,1990,G6,31.8
391,9,1990,G6,NaN
392,10,1990,G6,32.55
393,11,1990,G6,33.75
394,12,1990,G6,30.5
395,1,1991,G6,30.73
396,2,1991,G6,31.24
397,3,1991,G6,31.8
398,4,1991,G6,33.12
399,5,1991,G6,31.25
400,6,1991,G6,31.04
401,7,1991,G6,32.21
402,8,1991,G6,31.06
403,10,1991,G6,31.766666666666666
404,11,1991,G6,32.144999999999996
405,12,1991,G6,31.419999999999998
406,1,1992,G6,31.020000000000003
407,2,1992,G6,31.145
408,3,1992,G6,31.52
409,4,1992,G6,30.15
410,5,1992,G6,30.88
411,6,1992,G6,30.66
412,7,1992,G6,30.63
413,8,1992,G6,32.23
414,9,1992,G6,31.86
415,10,1992,G6,32.495
416,11,1992,G6,32.88
417,12,1992,G6,31.016666666666666
418,1,1993,G6,30.46
419,2,1993,G6,30.32
420,3,1993,G6,31.73
421,4,1993,G6,30.59
422,5,1993,G6,31.24
423,6,1993,G6,31.26
424,7,1993,G6,30.19
425,8,1993,G6,32.45
426,9,1993,G6,31.62
427,10,1993,G6,32.73
428,11,1993,G6,31.046666666666667
429,12,1993,G6,30.386666666666667
430,1,1994,G6,30.915
431,2,1994,G6,30.5275
432,3,1994,G6,29.810000000000002
433,5,1994,G6,29.67
434,6,1994,G6,29.43
435,7,1994,G6,30.8
436,8,1994,G6,30.63
437,9,1994,G6,32.79
438,10,1994,G6,29.84
439,11,1994,G6,31.495
440,12,1994,G6,31.423333333333332
441,1,1995,G6,29.82
442,2,1995,G6,30.89
443,3,1995,G6,28.833333333333332
444,5,1995,G6,26.84
445,6,1995,G6,24.83
446,7,1995,G6,28.58
447,8,1995,G6,28.47
448,9,1995,G6,28.96
449,10,1995,G6,29.49
450,11,1995,G6,29.8475
451,12,1995,G6,30.983333333333334
452,1,1996,G6,31.442
453,2,1996,G6,31.165
454,3,1996,G6,30.165
455,4,1996,G6,30.69
456,5,1996,G6,30.3
457,6,1996,G6,30.33
458,7,1996,G6,30.67
459,8,1996,G6,31.03
460,9,1996,G6,31.07
461,10,1996,G6,31.555
462,11,1996,G6,28.696666666666665
463,12,1996,G6,31.066666666666666
464,1,1997,G6,31.038
465,2,1997,G6,32.23
466,3,1997,G6,30.16
467,4,1997,G6,30.02
468,5,1997,G6,30.78
469,6,1997,G6,30.26
470,7,1997,G6,30.51
471,8,1997,G6,30.63
472,9,1997,G6,30.71
473,10,1997,G6,30.7
474,11,1997,G6,31.9575
475,12,1997,G6,31.73
476,1,1998,G6,31.955
477,2,1998,G6,30.42
478,3,1998,G6,NaN
